location,lon,lat
Mount Sinai West,-73.9868805,40.7697168
Columbus Circle,-73.9818304,40.7677043
Carnegie Hall,-73.979897,40.764938
Plaza Hotel,-73.9743547,40.7646095
Trump Tower,-73.9737815,40.7624502
Gershwin Theater,-73.9851266,40.7623955
Museum of Modern Art,-73.9774014,40.7613258
Radio City Music Hall,-73.9799463,40.7600118
St Patrick's Cathedral,-73.9770852,40.7586873
Waldorf Astoria,-73.9736421,40.7565712
Times Square,-73.9855712,40.7587907
Bryant Park,-73.9845096,40.7551058
The Roosevelt Hotel,-73.9774787,40.7547501
Grand Central Station,-73.97723,40.75273
Penn Station,-73.9908242,40.7503465
38 st/8 av,-73.9910991,40.7547005
Empire State Building,-73.9857629,40.7485411
49 st/10 av,-73.992569,40.764604
34 st/Hudson Yards,-74.0006536,40.7552252
57 St/11 Av,-73.9918303,40.7702923
65 St/Park Av,-73.9671863,40.7667181
20 St/1 Av,-73.9793327,40.7350122
Little W 12 St/Greenwich,-74.0070218,40.7397342
Port Authority,-73.990494,40.7569545
Javits Center,-74.0025907,40.757777
Bleecker St/8 Av,-74.005117,40.737018
38 St/2 Av,-73.9744042,40.7473182
46 St/2 Av,-73.970187,40.752019
Madison Square Park,-73.988218,40.7406872
22 St/9 Av,-74.0014859,40.7454743
Waterside Park,-74.0083251,40.7502426
14 St/6 Av,-73.9968111,40.7373545
Intrepid,-73.9989378,40.7636667
W 30th,-74.0065876,40.7544504
River 1,-74.011015,40.763428
River 2,-73.998413,40.773454
River 3,-74.007989,40.759944
River 4,-74.013177,40.762769
Hudson River,-74.011015,40.763428
Washington Square,-73.996997,40.73142
Bleecker Playground,-74.005169,40.735977
Broome/Broadway,-73.999852,40.721801
Tompkins Square Park,-73.98354,40.726043
Stuyvesant Town/FDR Drive,-73.97397,40.730977
West/Canal,-74.010934,40.725855
Gramercy Park,-73.985687,40.738215
TopRight,-73.969708,40.759722
BottomLeft,-74.012218,40.723729
29 St/ 2 Av,-73.978175,40.741684
10 St/ Av D,-73.975135,40.724881
57th/12th,-73.993645,40.771251
57th/10th,-73.988543,40.769118
57th/9th,-73.985726,40.767921
57th/8th,-73.982872,40.766768
57th/7th,-73.98005,40.765548
57th/6th,-73.977203,40.764325
57th/5th,-73.973939,40.762965
57th/Park,-73.970749,40.761623
57th/Lex,-73.969132,40.76093
50th/12th,-73.996671,40.766735
50th/10th,-73.991797,40.764689
50th/9th,-73.988965,40.763498
50th/8th,-73.986118,40.762286
50th/7th,-73.983263,40.76108
50th/6th,-73.980431,40.759897
50th/5th,-73.977188,40.758545
50th/Mad,-73.9756,40.757861
50th/Lex,-73.972369,40.756502
42nd/12th,-74.001058,40.761966
42nd/10th,-73.995453,40.759646
42nd/9th,-73.992653,40.758426
42nd/8th,-73.989781,40.757244
42nd/7th,-73.986944,40.756036
42nd/6th,-73.984104,40.754858
42nd/5th,-73.98087,40.753488
42nd/Mad,-73.979277,40.75281
42nd/3rd,-73.974455,40.750773
34th/12th,-74.005019,40.757084
34th/11th,-74.001975,40.755785
34th/10th,-73.999149,40.754594
34th/9th,-73.996322,40.753409
34th/8th,-73.993439,40.75219
34th/7th,-73.990603,40.751012
34th/6th,-73.98777,40.749772
34th/5th,-73.984568,40.748436
34th/Park,-73.981343,40.747083
NYWW,-74.002835,40.760364
Christopher Street Station,-74.007055,40.73303
9th Street Station,-73.998833,40.734152
14th Street Station,-73.996709,40.737244
23rd Street Station,-73.992657,40.742759
33rd Street Station,-73.988624,40.748517
