location,lon,lat,type,time
57th/12th,-73.993645,40.771251,Ferry,7.5
57th/10th,-73.988543,40.769118,Ferry,9
57th/9th,-73.985726,40.767921,Ferry,10.4
57th/8th,-73.982872,40.766768,Ferry,11.8
57th/7th,-73.98005,40.765548,Ferry,14.07
57th/6th,-73.977203,40.764325,Ferry,16.35
57th/5th,-73.973939,40.762965,Ferry,20.35
57th/Park,-73.970749,40.761623,Ferry,24.35
57th/Lex,-73.969132,40.76093,Ferry,29.2
50th/12th,-73.996671,40.766735,Ferry,5.5
50th/10th,-73.991797,40.764689,Ferry,7
50th/9th,-73.988965,40.763498,Ferry,8.55
50th/8th,-73.986118,40.762286,Ferry,10.1
50th/7th,-73.983263,40.76108,Ferry,12.98
50th/6th,-73.980431,40.759897,Ferry,15.85
50th/5th,-73.977188,40.758545,Ferry,18.63
50th/Mad,-73.9756,40.757861,Ferry,21.4
50th/Lex,-73.972369,40.756502,Ferry,24.8
42nd/12th,-74.001058,40.761966,Ferry,6.5
42nd/10th,-73.995453,40.759646,Ferry,8
42nd/9th,-73.992653,40.758426,Ferry,10.67
42nd/8th,-73.989781,40.757244,Ferry,13.33
42nd/7th,-73.986944,40.756036,Ferry,15.83
42nd/6th,-73.984104,40.754858,Ferry,18.33
42nd/5th,-73.98087,40.753488,Ferry,20.38
42nd/Mad,-73.979277,40.75281,Ferry,22.43
42nd/3rd,-73.974455,40.750773,Ferry,28.88
34th/12th,-74.005019,40.757084,Ferry,5
34th/11th,-74.001975,40.755785,Ferry,6
34th/10th,-73.999149,40.754594,Ferry,7.5
34th/9th,-73.996322,40.753409,Ferry,9.67
34th/8th,-73.993439,40.75219,Ferry,11.35
34th/7th,-73.990603,40.751012,Ferry,12.75
34th/6th,-73.98777,40.749772,Ferry,14.65
34th/5th,-73.984568,40.748436,Ferry,16.17
34th/Park,-73.981343,40.747083,Ferry,20.85
34th/3rd,-73.978107,40.745729,Ferry,26.6
NYWW,-74.002835,40.760364,Ferry,0
49 St,-73.983547,40.760389,Bus,21
Times Sq/42 St (NQRW),-73.987059,40.754405,Bus,19
47-50 Streets,-73.9818,40.757856,Bus,22
5 Av/53 St,-73.975491,40.760286,Bus,22
7 Av,-73.981626,40.762862,Bus,21
Lexington Av/53rd St,-73.969048,40.75762,Bus,26.5
42 St/Bryant Park,-73.984273,40.75492,Bus,20.5
57 St (F),-73.977373,40.763885,Bus,19.5
57 St (NQRW),-73.980256,40.765504,Bus,22
5 Av,-73.97422,40.764858,Bus,23
Lexington Av/59 St,-73.967506,40.762826,Bus,24
Grand Central (7),-73.977595,40.752241,Bus,14.12200259
5 Av,-73.981912,40.753925,Bus,13.12200259
34 St/Hudson Yards,-74.000762,40.755264,Bus,13.12200259
50 St (1),-73.983759,40.761307,Bus,14.70594783
34 St/Penn Station (123),-73.990269,40.750858,Bus,10.70594783
28 St (1),-73.993178,40.747169,Bus,14.70594783
23 St (1),-73.995574,40.744077,Bus,16.70594783
59 St/Lexington Av (456),-73.967906,40.762942,Bus,24.26254621
51 St,-73.97212,40.757203,Bus,16
28 St (46),-73.983904,40.743251,Bus,19.26254621
23 St (46),-73.986247,40.74013,Bus,21.26254621
Times Sq/42 St (123),-73.987387,40.756225,Bus,3.205947831
33 St,-73.98185,40.746581,Bus,20.26254621
Times Sq/42 St (7),-73.987571,40.755163,Bus,5.12200259
59 St/Columbus Circle,-73.981488,40.768645,Bus,15
Lexington Av/53 St,-73.969111,40.757585,Bus,12
5 Av/53 St,-73.975491,40.760286,Bus,10
7 Av,-73.981626,40.762862,Bus,8
50 St (ACE),-73.986302,40.762372,Bus,7
34 St/Penn Station (ACE),-73.993306,40.752145,Bus,7
23 St (CE),-73.998228,40.745207,Bus,8
Times Sq/42 St (S),-73.986287,40.755759,Bus,4.533410605
Grand Central (S),-73.977595,40.752241,Bus,13.53341061
42 St/Port Authority,-73.990042,40.757337,Bus,0
